Date,Max_Temp_C
2016-03-23,33.4
2016-03-24,33.6
2016-03-25,34.1
2016-03-26,34.4
2016-03-27,33.8
2016-03-28,34.4
2016-03-29,34.3
2016-03-30,33.3
2016-03-31,33.2
2016-04-01,32.4
2016-04-02,33.5
2016-04-03,33.9
2016-04-04,35.4
2016-04-05,35.4
2016-04-06,37.8
2016-04-07,37.9
2016-04-08,36.4
2016-04-09,37.9
2016-04-10,38.8
2016-04-11,40.2
2016-04-12,39.7
2016-04-13,38.8
2016-04-14,39.5
2016-04-15,40.3
2016-04-16,36.9
2016-04-17,38.2
2016-04-18,37.1
2016-04-19,39.2
2016-04-20,38.0
2016-04-21,38.1
2016-04-22,38.9
2016-04-23,39.4
2016-04-24,39.8
2016-04-25,37.3
2016-04-26,36.7
2016-04-27,38.0
2016-04-28,38.9
2016-04-29,39.4
2016-04-30,38.8
2016-05-01,39.4
2016-05-02,38.1
2016-05-03,34.6
2016-05-04,34.4
2016-05-05,34.6
2016-05-06,35.3
2016-05-07,34.8
2016-05-08,34.4
2016-05-09,33.6
2016-05-10,34.0
2016-05-11,34.9
2016-05-12,35.5
2016-05-13,36.2
2016-05-14,35.5
2016-05-15,35.5
2016-05-16,35.5
2016-05-17,35.3
2016-05-18,35.6
2016-05-19,30.7
2016-05-20,27.7
2016-05-21,29.3
2016-05-22,34.1
2016-05-23,34.4
2016-05-24,33.8
2016-05-25,35.5
2016-05-26,35.0
2016-05-27,34.5
2016-05-28,33.8
2016-05-29,34.4
2016-05-30,34.3
2016-05-31,34.4
2016-06-01,33.2
2016-06-02,33.3
2016-06-03,32.9
2016-06-04,32.6
2016-06-05,32.1
2016-06-06,30.6
2016-06-07,31.8
2016-06-08,31.8
2016-06-09,31.4
2016-06-10,33.9
2016-06-11,37.3
2016-06-12,35.4
2016-06-13,33.3
2016-06-14,34.5
2016-06-15,33.6
2016-06-16,32.7
2016-06-17,31.9
2016-06-18,30.8
2016-06-19,31.3
2016-06-20,32.1
2016-06-21,32.6
2016-06-22,32.5
2016-06-23,31.6
2016-06-24,31.3
2016-06-25,32.2
2016-06-26,32.9
2016-06-27,31.7
2016-06-28,32.1
2016-06-29,32.9
2016-06-30,32.7
2016-07-01,31.2
2016-07-02,29.8
2016-07-03,29.3
2016-07-04,29.8
2016-07-05,29.6
2016-07-06,30.2
2016-07-07,31.9
2016-07-08,31.7
2016-07-09,30.4
2016-07-10,30.6
2016-07-11,31.0
2016-07-12,30.4
2016-07-13,31.3
2016-07-14,31.1
2016-07-15,30.7
2016-07-16,29.6
2016-07-17,29.1
2016-07-18,30.2
2016-07-19,31.6
2016-07-20,31.6
2016-07-21,31.7
2016-07-22,29.6
2016-07-23,29.5
2016-07-24,30.5
2016-07-25,28.5
2016-07-26,28.3
2016-07-27,30.7
2016-07-28,32.0
2016-07-29,32.0
2016-07-30,31.6
2016-07-31,32.3
2016-08-01,29.4
2016-08-02,28.2
2016-08-03,30.1
2016-08-04,30.6
2016-08-05,31.0
2016-08-06,27.5
2016-08-07,29.4
2016-08-08,27.7
2016-08-09,27.8
2016-08-10,26.4
2016-08-11,30.4
2016-08-12,31.0
2016-08-13,32.4
2016-08-14,32.2
2016-08-15,32.1
2016-08-16,32.0
2016-08-17,27.1
2016-08-18,30.7
2016-08-19,31.2
2016-08-20,33.3
2016-08-21,29.6
2016-08-22,27.6
2016-08-23,31.8
2016-08-24,32.2
2016-08-25,32.8
2016-08-26,32.3
2016-08-27,31.9
2016-08-28,31.7
2016-08-29,32.4
2016-08-30,32.8
2016-08-31,29.4
2016-09-01,31.3
2016-09-02,30.7
2016-09-03,30.6
2016-09-04,31.2
2016-09-05,31.3
2016-09-06,28.4
2016-09-07,30.3
2016-09-08,31.3
2016-09-09,31.3
2016-09-10,31.0
2016-09-11,29.9
2016-09-12,29.3
2016-09-13,28.6
2016-09-14,30.8
2016-09-15,31.4
2016-09-16,31.8
2016-09-17,31.0
2016-09-18,31.3
2016-09-19,32.0
2016-09-20,32.1
2016-09-21,30.1
2016-09-22,31.4
2016-09-23,30.7
2016-09-24,29.7
2016-09-25,29.1
2016-09-26,30.5
2016-09-27,30.7
2016-09-28,29.7
2016-09-29,31.2
2016-09-30,31.3
2016-10-01,31.5
2016-10-02,31.3
2016-10-03,31.9
2016-10-04,32.4
2016-10-05,31.6
2016-10-06,30.6
2016-10-07,30.2
2016-10-08,30.2
2016-10-09,30.9
2016-10-10,29.4
2016-10-11,29.8
2016-10-12,30.9
2016-10-13,31.5
